inserttime,MonitorAddress,每GURL量
2021-01-25 08:55:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 08:56:13+00:00,广东广州南方基地3.1栋203机房,1313081.6576576577
2021-01-25 08:57:36+00:00,广东广州南方基地3.1栋203机房,1294539.7217430267
2021-01-25 08:57:47+00:00,广东广州南方基地3.1栋203机房,1331388.6009839787
2021-01-25 09:00:08+00:00,广东广州南方基地3.1栋203机房,1320760.4640861526
2021-01-25 09:05:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 09:06:13+00:00,广东广州南方基地3.1栋203机房,1314363.8659035158
2021-01-25 09:07:36+00:00,广东广州南方基地3.1栋203机房,1315766.5631478739
2021-01-25 09:07:47+00:00,广东广州南方基地3.1栋203机房,1305224.2067982901
2021-01-25 09:10:08+00:00,广东广州南方基地3.1栋203机房,1316324.028503563
2021-01-25 09:15:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 09:16:13+00:00,广东广州南方基地3.1栋203机房,1289018.197109067
2021-01-25 09:17:36+00:00,广东广州南方基地3.1栋203机房,1318589.06039783
2021-01-25 09:17:47+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 09:20:08+00:00,广东广州南方基地3.1栋203机房,1330590.5934649196
2021-01-25 09:25:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 09:26:13+00:00,广东广州南方基地3.1栋203机房,1301870.4276069016
2021-01-25 09:27:36+00:00,广东广州南方基地3.1栋203机房,1323713.5068153655
2021-01-25 09:27:47+00:00,广东广州南方基地3.1栋203机房,1292083.6615447653
2021-01-25 09:30:08+00:00,广东广州南方基地3.1栋203机房,1322963.4497760716
2021-01-25 09:35:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 09:36:13+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 09:37:36+00:00,广东广州南方基地3.1栋203机房,1307425.8624338624
2021-01-25 09:37:47+00:00,广东广州南方基地3.1栋203机房,1299260.8694608381
2021-01-25 09:40:08+00:00,广东广州南方基地3.1栋203机房,1306605.900959927
2021-01-25 09:45:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 09:46:13+00:00,广东广州南方基地3.1栋203机房,1291115.825603337
2021-01-25 09:47:36+00:00,广东广州南方基地3.1栋203机房,1311678.917238226
2021-01-25 09:47:47+00:00,广东广州南方基地3.1栋203机房,1284676.3778501628
2021-01-25 09:50:08+00:00,广东广州南方基地3.1栋203机房,1306335.5492957747
2021-01-25 09:55:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 09:56:13+00:00,广东广州南方基地3.1栋203机房,1260527.2740471868
2021-01-25 09:57:36+00:00,广东广州南方基地3.1栋203机房,1298414.8157998892
2021-01-25 09:57:47+00:00,广东广州南方基地3.1栋203机房,1257958.9475351898
2021-01-25 10:00:08+00:00,广东广州南方基地3.1栋203机房,1307223.9498461187
2021-01-25 10:05:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 10:06:13+00:00,广东广州南方基地3.1栋203机房,1289991.438028687
2021-01-25 10:07:35+00:00,广东广州南方基地3.1栋203机房,1267778.4613000096
2021-01-25 10:07:47+00:00,广东广州南方基地3.1栋203机房,1293978.609198423
2021-01-25 10:10:08+00:00,广东广州南方基地3.1栋203机房,1319557.2833415556
2021-01-25 10:15:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 10:16:13+00:00,广东广州南方基地3.1栋203机房,1259153.5386656055
2021-01-25 10:17:35+00:00,广东广州南方基地3.1栋203机房,1320781.0953614316
2021-01-25 10:17:47+00:00,广东广州南方基地3.1栋203机房,1261845.6949152541
2021-01-25 10:20:08+00:00,广东广州南方基地3.1栋203机房,1297434.199784335
2021-01-25 10:25:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 10:26:13+00:00,广东广州南方基地3.1栋203机房,1291826.7387387387
2021-01-25 10:27:35+00:00,广东广州南方基地3.1栋203机房,1305228.5600882028
2021-01-25 10:27:47+00:00,广东广州南方基地3.1栋203机房,1241809.517615176
2021-01-25 10:30:08+00:00,广东广州南方基地3.1栋203机房,1303867.396655301
